CODIGO,CATEGORIA,DETALLE,P_UNIT,P_CUARTO,P_DOCENA,STOCK,C_PROMO,P_PROMO,COSTO_REAL,MARGEN_UNI
72102590,MEDIA TOB  DAMA,TOBILLERA DAMA,10.00,25.00,60.00,21,0,,3.50,6.50
1051240,ropa,media de vestir,5.00,12.00,40.0,10,0,10,2.00,3.00
37454545,botas venus,BOTAS BLANCA VENUS H.,45.00,135.00,540.0,57,0,0,36.00,9.00
1230110,ropa,supra interior,12.00,30.00,120.0,134,0,,6.50,5.50
2880320,cuidado personal,set manicura,28.00,80.00,320.0,0,0,,13.00,15.00
45120470,maquillaje,sombra poderosa,45.00,120.00,470.0,2,0,,,0.00
2055210,espejos,espejo grande,20.00,55.00,210.0,10,0,,5.00,15.00
1028110,espejos,espe. mediano,10.00,28.00,115.0,16,0,,3.50,6.50
51350,espejos,ESPEJO  PEQUEÑO CUADRADO,5.00,12.00,48.0,38,0,,,0.00
351350,espejos,espejo flor,5.00,13.00,50.0,2,0,,,0.00
1540150,espejos,esp.panda,15.00,40.00,150.0,4,0,,,0.00
35100390,fajas,FAJA LUMBAR HOMBRE,35.00,100.00,390.0,35,0,,16.00,19.00
1027105,encendedor,ANTORCHA,10.00,27.00,105.0,15,0,,5.00,5.00
652518,encendedor, ENCEND.econ. ,2.00,5.00,18.0,49,0,,0.80,1.20
2451350,encendedor,soplete,5.00,13.00,52.0,19,0,,,0.00
65180710,billetera,chicago,65.00,180.00,710.0,1,0,0,31.00,34.00
38105410,billetera,bill.equipos,48.00,130.00,410.0,4,0,,23.00,25.00
38100400,billetera,puma,38.00,100.00,400.0,1,0,,20.00,18.00
65185740,billeterra,tailand,65.00,185.00,740.0,2,0,,32.00,33.00
70225990,bermuda,ber.,70.00,225.,990.0,2,no.png,,35.00,35.00
90225990,bermudas,berm.,90.00,225.00,990.0,1,no.png,,40.00,50.00
9523751045,bermudas,berm.,95.00,237.50,1045.0,11,no.png,,42.00,53.00
1303511495,pantalon,pantalon varon,130.00,351.00,1495.0,2,no.png,,65.00,65.00
1253701470,pantalon,pantalon v.,125.00,370.00,1470.0,8,no.png,,65.00,60.00
952801100,pantalon,pantalon jeans,95.00,280.00,1100.0,42,no.png,,45.00,50.00
13533751525,pantalon,pantalon over,135.00,337.50,1525.0,17,no.png,,75.00,60.00
1403501540,pantalon,pant. v,140.00,350.00,1540.0,1,no.png,,75.00,65.00
852125935,pantalon,pant. v.,85.00,212.00,935.0,4,no.png,,50.00,35.00
06501515,plastiqueria,set ÃÂ4,30.00,85.00,340.0,1,no.png,,15.00,15.00
7750062024546,plastiqueria,vaso disco,3.004,8.00,30.0,15,no.png,,1.30,1.70
0978231127,plastiqueria,colador de arroz,15.00,40.00,160.0,3,no.png,,8.00,7.00
652518,encendedor, ENCEND.econ. ,2.00,5.00,18.0,49,0,,0.80,1.20
1850190,toallas,toalla micro.,18.00,50.00,190.0,0,no.png,,10.00,8.00
2050190,toallas,color entero,20.00,50.00,200.0,13,no.png,,10.00,10.00
102595,media alg.,talonera ALGODON MARCAS,10.00,25.00,60.00,108,0,,4.00,6.00
7750062002018,plastiqueria,SILLA BARCELONA,55.00,155.00,610.00,14,0,0.00,30.00,25.00
7750498900322,plastiqueria,SILLA BERLIN MARRON,45.00,120.00,475.00,35,0,,21.00,24.00
952801100,pantalon,pantalon jeans,95.00,280.00,1100.0,42,no.png,,45.00,50.00
11528751265,berm. ,dota,115.00,287.00,1265.0,6,no.png,,75.00,40.00
651625715,truzas,canco,65.00,162.00,715.0,35,no.png,,26.00,39.00
6500021223,medias,MEDIAS  DE BOTAS,13.00,36.00,143.00,55,no.png,,9.00,4.00
7800000075755,linternas,LINTERNA FRONTAL,20.00,58.00,230.0,141,0,,9.00,11.00
6973230904803,cargador ,tipo c,40.00,115.00,460.0,2,no.png,,15.00,25.00
6973231205169,cargador t C,cargador tipo C,40.00,115.00,460.0,1,no.png,,15.00,25.00
6973212405465,cargador,tipo c,40.00,115.00,460.0,6,no.png,,15.00,25.00
6973212405755,cargador,tipo c,40.00,115.00,460.0,6,no.png,,15.00,25.00
7750075048225,tinte stereo,colores tintes,5.00,13.00,52.0,40,no.png,,2.00,3.00
6970791120529,cbles carg,cable tranyoo,25.00,65.00,260.0,2,no.png,,10.00,15.00
6973221005526,cable de carg,cable plano,15.00,35.00,140.0,2,no.png,,2.00,13.00
6973202403266,audifonos alambricos,audifonos romax,35.00,95.00,380.0,1,no.png,,16.00,19.00
6956456596175,cable 3,cable 3 salidas,25.00,60.00,240.0,2,no.png,,10.00,15.00
885909627448,cargador,tipo iphone,45.00,120.00,480.0,4,no.png,,25.00,20.00
6934177771682,portatil,car. port. xiomi,170.00,490.00,1960.0,1,no.png,,85.00,85.00
7754807850063,ligas ,ligas alleanza,5.00,12.00,48.0,14,no.png,,2.00,3.00
2050000161605,ligas, LIGAS nove,5.00,12.00,48.0,1,no.png,,,0.00
7750075033245,oxidante eco,oxidante varios,5.00,12.00,48.0,17,no.png,,,0.00
7751851001724,pasta dental,dento herbal,6.00,18.00,70.0,2,no.png,,3.50,2.50
7750243070140,pasta d.,triple accion dento,6.00,18.00,70.0,11,no.png,,3.50,2.50
7509546651705,pasta dental,kolynos,6.00,18.00,70.0,2,no.png,,3.50,2.50
7750243080002,jabon,JABON BOLIVAR AZUL,4.00,12.00,45.0,0,no.png,,2.50,1.50
579643680,maquillaje,esmalte de uñas feryany,8.00,21.00,44.0,18,no.png,,4.00,4.00
10010250,forro   facil,artezco,2.50,7.00,25.0,78,no.png,,0.70,1.80
5901234123457,colores bond,papel col. 8×1.00,1.00,3.00,12.0,423,no.png,,0.10,0.90
3013018752592,bond,bond blanco 10×1.00,1.00,3.00,12.0,787,10,1.00,,0.00
7754807033855,folder t d,verde c/gusanito,12.00,35.00,130.0,11,no.png,,6.00,6.00
7750737360580,manila,sobres,1.00,2.50,10.0,90,no.png,,0.50,0.50
745853462031,guantes quirurgicos,guantes verdes,1.00,3.00,12.0,290,no.png,,0.50,0.50
12404,hilo peq.,hilo colores,4.00,10.00,40.0,51,no.png,,1.00,3.00
3027252,Risador,risador recragble,15.00,42.00,165.0,3,no.png,,10.00,5.00
7750075039469,tubos 2,tinte ketina set,30.00,87.00,340.0,1,no.png,,15.00,15.00
7750075039810,tubo 2,keratina set 2,30.00,87.00,340.0,1,no.png,,15.00,15.00
7750075039834,tubos2,tinte keratina por2,30.00,87.00,348.0,1,no.png,,15.00,15.00
7750075039797,tubos 2,Tinte keratina por 2,30.00,87.00,340.0,1,no.png,,15.00,15.00
7750075039414,tubo por2,rubio claro irizado,30.00,87.00,340.0,1,no.png,,15.00,15.00
7750075045224,tinte bambu,rubio medio purpura,20.00,60.00,230.0,2,no.png,,10.00,10.00
7750075045118,tinte babmbu,rubio cenizo claro,20.00,60.00,230.0,1,no.png,,10.00,10.00
7750075045163,tinte bambu,castaño claro caoba,20.00,60.00,230.0,1,no.png,0.00,10.00,10.00
7750075045217,tinte bambu,castaño claro rojo purpura,20.00,60.00,230.0,1,no.png,0.00,10.00,10.00
7750075045309,tinte bambu,verde,20.00,60.00,230.0,1,no.png,,10.00,10.00
7750075044920,tinte bambu,rubio claro,20.00,60.00,230.0,1,no.png,,10.00,10.00
7750075045286,tinte bambu,plata,20.00,60.00,230.0,1,no.png,,10.00,10.00
2880320,cuidado personal,set ped. ,28.00,80.00,320.0,0,no.png,,13.00,15.00
4904530588471,pilas toshiba,PILA AA  CAJA X 10,4.00,12.00,0,211,10,35.00,2.00,2.00
7891024132371,pasta dental ,colg. triple accion,13.00,38.00,145.0,0,no.png,,7.00,6.00
6947503771126,utiles,lapicero set por 3,8.00,21.00,75.0,2,no.png,,3.00,5.00
5601810561184,PLUMON  INDELEBLE,PLUMON I. WHITE BOARD,4.00,12.00,45.0,11,no.png,,1.50,2.50
6943562101058,plumon.    ind,PLUMON azul,4.00,12.00,45.0,9,no.png,,1.50,2.50
7750082001978,marcador ind.,negro,6.00,16.00,60.0,7,no.png,,4.00,2.00
50150201,lapiceros,azul.rojo.negro,2.00,5.00,20.0,139,no.png,,0.50,1.50
4534534563640,lapicero,oval 083,2.00,5.00,18.0,16,no.png,,,0.00
"881201250,boligrafos,""azul,negro,rojo"",2.50,7.00,25.0,66,no.png,,,0.00"
7750082028265,plumon ind ,cd max,5.00,13.00,50.0,8,no.png,,,0.00
1236270250,lapz,grafito,2.50,7.00,25.0,33,no.png,,,0.00
2322301618,lapiz,A2B,2.00,5.00,20.0,30.00,no.png,,,0.00
777512,tubos ligas,carmin,5.00,13.00,50.0,6,no.png,,,0.00
2627410,plumon,PLUMON pizarra,4.00,10.00,40.0,22,no.png,,,0.00
240821,enc.,ENCENDEDOR PEGAZO,8.00,21.00,80.0,44,no.png,,,0.00
123675004,lapiz,LAPIZ JUMBO,4.00,10.00,40.0,36,no.png,,,0.00
12360403,lapiz,chequeo,3.00,8.00,32.0,33,no.png,,,0.00
12360303,lapiz,bicolor,3.00,8.00,32.0,35,no.png,,,0.00
12363603,lapiz,dual grafito,3.00,8.00,32.0,35,no.png,,,0.00
7750840010242,lapiz,cedar tecnico,2.00,5.00,20.0,13,no.png,,,0.00
7750082210691,corrector,artezco,6.00,16.00,64.0,10,no.png,,,0.00
12061204,corrector,23,4.00,12.00,45.0,22,no.png,,,0.00
12091206,corrector,vikingo,6.00,15.00,60.0,21,no.png,,,0.00
7754807720335,goma,barra ,8.00,22.00,85.0,20,no.png,,,0.00
200803,borrador,blanco,3.00,7.00,28.0,13,no.png,,,0.00
7750212073219,tijera,naranja,3.00,8.00,32.0,2,no.png,,,0.00
